C-2,13935816072
PD,12613117076
C-1,13927712052
T-C,12507816109
PD,12624315189
R-PD6,16304417036
T-C,12507816104
R-PD5,12519613091
R-PD15,14029310020
R-PD11,13802110136
C-2,13935211024
R-PD7,12512813067
T-C,12507713099
PD,12613614130
R-PD8,16308610008
R-PD8,12527816038
PD,13712615153
P-R,13932411030
P-R,13932411020
P-R,13932411019
P-R,13932411042
T-C,12517210189
R-PD8,13823112028
T-C,12517213048
R-PD9,13826314130
R-PD2,12504212106
C-D,13932411029
P-R,13932412020
PD,12613512002
P-R,13932411001
R-E,13932801002
T-C,12517213050
R-PD16,13828122041
R-PD8,13823112027
R-PD9,14030520011
R-PD2,12504212105
R-PD16,13828122039
R-PD14,13823417023
R-PD2,12505511033
R-PD2,12505511034
R-PD14,13823115008
R-PD5,12525311063
T-C,12507815065
R-PD15,14029310063
R-PD8,13931711035
R-PD15,14029310066
R-PD15,14029310032
R-PD15,13825110020
R-PD15,14029310060
R-PD15,13825111065
R-PD15,13825110032
R-PD16,14031612125
R-PD8,13931711051
R-PD18,13826710070
R-PD16,14031612078
R-PD18,13826710008
R-PD16,14031612041
R-PD15,13825111026
R-PD12,13828217018
R-PD12,13828217036
R-PD12,13828217055
R-PD12,13828217037
P-C,13714811065
R-PD10,13823118042
R-PD10,13823118014
T-C,12517313025
R-PD14,13823116004
R-PD8,14031113010
C-2,12534712019
C-2,12534712022
C-2,12534712024
R-PD8,14031110049
R-PD15,14029310005
R-PD14,13828221030
R-PD8,13931711005
R-PD14,13828221040
R-PD12,13824217012
R-PD8,13931711045
R-PD11,14031715148
R-PD15,14029310118
R-PD12,13824217030
R-PD15,14029310017
R-PD15,14029310094
R-PD15,14029310069
R-PD16,14031612118
PD,12613614136
R-PD16,14031612101
R-PD14,13828221032
R-PD15,14029310021
R-PD15,14029310091
R-PD14,13828221016
R-PD14,13828221051
R-PD8,13931711036
R-PD16,14031612070
R-PD15,13825111027
R-PD15,13825111030
R-PD16,14031612065
R-PD15,13825111066
R-PD11,14031715115
R-PD11,14031715130
R-PD14,13823115007
R-PD10,13823118001
R-PD8,14031113009
R-PD8,14031110043
P-R,13932412033
R-PD11,14031715037
R-PD11,14031715040
R-PD11,14031715157
R-PD14,13823116003
R-PD10,13823118003
T-C,12517713014
R-PD11,16207711037
R-PD10,13823118020
R-PD8,14031110050
R-PD8,14031110017
R-PD14,13823115048
R-PD8,14031110019
C-1,13934714001
C-D,13932412027
R-PD8,14031110009
R-PD8,14031110004
R-PD14,13823115062
R-PD8,14031110024
R-PD14,13823116044
R-PD14,13823115036
R-PD8,14031113008
R-PD14,13823115045
C-2,13935816019
R-PD14,13823114009
R-PD11,16207710011
R-PD8,14031113025
R-PD8,14031110003
R-PD8,14031110051
R-PD14,13823116034
C-2,13935816069
R-PD14,13823115053
R-PD14,13823116030
R-PD14,13823116029
R-PD8,14031110048
R-PD12,13813710021
R-PD12,13813710037
R-PD12,13813710014
R-PD12,13813710093
R-PD8,14031110053
T-C,12517713006
P-R,13932412011
R-PD12,13813710080
R-PD12,13813710085
R-PD12,13813710102
R-PD14,13823116021
R-PD14,13823116011
R-PD8,14031113033
R-PD14,13823115040
R-PD11,16207710014
R-PD8,14031110011
R-PD14,13823114034
R-PD14,13823115044
R-PD11,16207711043
R-PD10,13833414041
R-PD10,13833414049
R-PD14,13823114032
R-PD11,16207712031
P-R,13932411039
R-PD14,13823114031
R-PD11,16207710034
R-PD14,13823114011
PD,12613513118
R-PD20,13828222027
R-PD14,13823115004
T-C,12520112163
R-PD12,13701115056
R-PD12,13701115048
R-PD12,13813710062
R-PD12,13701115156
T-C,12520112013
T-C,12520112166
R-PD12,13813710084
T-C,12520112130
T-C,12520112061
R-PD12,13813710075
R-PD11,16207712042
R-PD12,13813710071
R-PD12,13813710074
R-PD12,13813710082
R-PD12,13813710067
R-PD11,16207711040
R-PD14,13823114023
R-PD10,13833414072
T-C,12520112185
R-PD15,13825110062
R-PD11,13828412008
R-PD14,13823116041
R-PD11,13828412030
M,13927401034
R-PD12,13701115089
R-PD12,13701115141
R-PD11,13828412017
R-PD12,13701115004
R-PD12,13701115021
R-PD12,13701115001
R-PD11,16207711021
R-PD14,13823115005
R-PD11,13828412016
R-PD14,13823116037
R-PD12,13701115129
R-PD14,13823116033
R-PD11,13828412009
R-PD12,13824217033
R-PD12,13824217037
R-PD15,13825110010
R-PD12,13828217023
R-PD12,13828217029
R-PD20,13824110058
R-PD12,13828217050
R-PD12,13828217020
R-PD12,13828217062
R-PD12,13828217002
R-PD14,13828221019
R-PD14,13828221022
R-PD12,13828217032
R-PD12,13828217005
R-PD12,13828217008
R-PD14,13828221054
R-PD15,14029310087
R-PD15,14029310043
R-PD15,14029310077
R-PD15,13825110064
R-PD8,12518515086
R-PD15,13825111069
R-PD15,14029310009
R-PD15,14029310057
R-PD18,13826710048
R-PD15,13825111070
R-PD16,14031612006
R-PD20,13828222073
R-PD20,13828222002
R-PD11,14031715124
R-PD12,13824217039
R-PD8,14031113012
R-PD8,14031113016
R-PD5,12519613086
R-PD14,13828221003
R-PD14,13828221015
R-PD14,13828221004
C-1,16207510005
R-PD15,13825110040
R-PD15,14029310038
R-PD15,13825111050
R-PD15,13825111019
R-PD20,13828222010
R-PD20,13828222014
R-PD20,13828222050
R-PD15,13825111074
